Id,Prediction
06352.jpg,34
03871.jpg,5
08222.jpg,16
05616.jpg,14
06519.jpg,17
00535.jpg,2
09778.jpg,46
12793.jpg,7
06071.jpg,26
09064.jpg,28
07454.jpg,45
01467.jpg,29
10482.jpg,43
02121.jpg,44
07379.jpg,26
14268.jpg,23
13248.jpg,42
11414.jpg,25
06845.jpg,22
14136.jpg,5
12325.jpg,23
00870.jpg,34
13215.jpg,0
08946.jpg,43
08874.jpg,35
03981.jpg,17
11391.jpg,38
13057.jpg,41
07804.jpg,34
01873.jpg,24
13923.jpg,28
05829.jpg,41
07344.jpg,6
05913.jpg,43
07711.jpg,38
08544.jpg,32
07705.jpg,48
06270.jpg,44
12306.jpg,2
00665.jpg,43
03559.jpg,31
02023.jpg,37
01967.jpg,23
14131.jpg,11
05115.jpg,22
12055.jpg,2
09198.jpg,18
03451.jpg,42
04117.jpg,19
13357.jpg,9
08498.jpg,0
00573.jpg,18
10112.jpg,19
00238.jpg,33
05415.jpg,17
06234.jpg,5
06021.jpg,20
04170.jpg,24
06893.jpg,3
13990.jpg,33
05156.jpg,39
12659.jpg,4
09324.jpg,11
02223.jpg,5
11138.jpg,28
01431.jpg,34
09496.jpg,38
11860.jpg,43
10539.jpg,47
05736.jpg,27
09833.jpg,40
08811.jpg,14
05812.jpg,10
04137.jpg,48
08445.jpg,44
03963.jpg,1
08116.jpg,22
10395.jpg,20
04436.jpg,4
09456.jpg,31
12045.jpg,1
03026.jpg,38
05442.jpg,20
01685.jpg,23
00900.jpg,6
07592.jpg,8
01718.jpg,13
05697.jpg,9
11340.jpg,16
02543.jpg,15
00803.jpg,7
13777.jpg,31
13779.jpg,15
08718.jpg,12
06450.jpg,25
01339.jpg,24
05833.jpg,46
06265.jpg,40
00470.jpg,32
04518.jpg,28
14110.jpg,46
00709.jpg,38
05028.jpg,30
06251.jpg,34
00821.jpg,22
13334.jpg,48
04469.jpg,23
09173.jpg,48
01225.jpg,22
10352.jpg,35
14080.jpg,36
10199.jpg,3
12828.jpg,16
09490.jpg,6
12326.jpg,47
02242.jpg,46
08529.jpg,5
06085.jpg,39
10962.jpg,47
06470.jpg,8
04202.jpg,18
08782.jpg,12
01987.jpg,22
03234.jpg,39
11658.jpg,18
01579.jpg,6
11955.jpg,38
06769.jpg,0
03716.jpg,10
